51641.99,51685.791,51601.431,51630.936,51639.964,51697.324,02:57:02
51641.99,51685.791,51601.384,51630.92,51639.966,51698.204,02:57:04
51643.08,51685.791,51601.339,51630.905,51639.967,51699.086,02:57:07
51643.36,51685.791,51601.294,51630.89,51639.969,51699.968,02:57:09
51643.36,51685.791,51601.25,51630.875,51639.97,51700.85,02:57:12
51643.36,51685.791,51601.236,51630.86,51639.972,51701.731,02:57:14
51645.99,51685.791,51601.234,51630.848,51639.975,51702.615,02:57:17
51647.5,51685.791,51601.234,51630.837,51639.978,51703.501,02:57:20
51647.5,51685.791,51601.234,51630.826,51639.981,51704.386,02:57:22
51647.502,51685.791,51601.234,51630.816,51639.979,51705.271,02:57:25
51647.502,51685.791,51601.234,51630.805,51639.977,51706.156,02:57:27
51647.503,51685.791,51601.234,51630.794,51639.975,51707.042,02:57:30
51647.502,51685.791,51601.234,51630.783,51639.973,51707.928,02:57:32
51647.502,51685.791,51601.234,51630.778,51639.971,51708.816,02:57:35
51647.502,51685.791,51601.234,51630.773,51639.969,51709.703,02:57:37
51647.501,51685.791,51601.234,51630.767,51639.967,51710.591,02:57:40
51647.5,51685.791,51601.234,51630.762,51639.966,51711.478,02:57:42
51647.502,51685.791,51601.234,51630.757,51639.965,51712.365,02:57:45
51647.5,51685.791,51601.234,51630.752,51639.966,51713.253,02:57:47
51647.501,51685.791,51601.234,51630.748,51639.967,51714.143,02:57:50
51656.15,51685.791,51601.248,51630.751,51639.972,51715.041,02:57:53
51656.15,51685.791,51601.262,51630.755,51639.978,51715.939,02:57:56
51659.99,51685.791,51601.283,51630.762,51639.986,51716.839,02:57:58
51661.093,51685.791,51601.306,51630.773,51639.994,51717.741,02:58:01
51661.093,51685.791,51601.328,51630.784,51640.003,51717.782,02:58:03
51661.26,51685.791,51601.319,51630.794,51640.011,51718.684,02:58:06
51667.12,51685.791,51601.324,51630.811,51640.022,51719.591,02:58:08
51681.091,51685.791,51601.352,51630.841,51640.038,51720.511,02:58:11
51681.091,51685.791,51601.38,51630.871,51640.054,51721.431,02:58:13
51681.095,51685.791,51601.409,51630.902,51640.07,51722.351,02:58:16
51681.096,51685.791,51601.434,51630.932,51640.086,51723.271,02:58:18
51681.096,51685.791,51601.459,51630.967,51640.102,51724.191,02:58:21
51681.096,51685.791,51601.484,51631.002,51640.118,51725.111,02:58:23
51681.097,51685.791,51601.509,51631.037,51640.134,51725.169,02:58:25
51681.095,51685.791,51601.534,51631.072,51640.15,51726.089,02:58:28
51681.097,51685.791,51601.559,51631.107,51640.166,51727.009,02:58:31
51681.092,51685.791,51601.584,51631.141,51640.182,51727.929,02:58:33
51681.091,51685.791,51601.605,51631.175,51640.198,51728.85,02:58:36
51681.09,51685.791,51601.64,51631.2,51640.214,51729.771,02:58:39
51681.09,51685.791,51601.685,51631.223,51640.23,51730.692,02:58:42
51681.09,51685.791,51601.73,51631.246,51640.246,51730.753,02:58:45
51681.092,51685.791,51601.775,51631.268,51640.262,51730.814,02:58:48
51681.096,51685.791,51601.82,51631.291,51640.278,51730.014,02:58:50
51681.096,51685.791,51601.865,51631.32,51640.293,51729.213,02:58:53
51681.098,51685.791,51601.91,51631.36,51640.309,51728.413,02:58:55
51681.098,51685.791,51601.956,51631.399,51640.325,51727.61,02:58:58
51681.096,51685.791,51602.001,51631.439,51640.341,51726.807,02:59:00
51681.097,51685.791,51602.046,51631.481,51640.357,51726.004,02:59:03
